Num,Name,GP,W,D,L,GF,GA,GD,Pts
1,Liverpool,17,13,2,2,29,14,15,41
2,Manchester City,18,10,1,7,41,22,19,31
3,Chelsea,18,9,3,6,36,33,3,30
4,Southampton,18,8,4,6,28,25,3,28
5,Wolverhampton,17,7,6,4,23,18,5,27
6,Leicester City,18,7,4,7,32,21,11,25
7,Manchester Utd,17,6,5,6,22,19,3,23
8,Burnley,18,6,5,7,17,27,-10,23
9,Sheffield Utd,17,4,9,4,14,19,-5,21
10,Arsenal,18,4,8,6,20,23,-3,20
11,Crystal Palace,18,5,5,8,16,28,-12,20
12,Newcastle Utd,18,5,2,11,18,37,-19,17
13,Tottenham,17,3,7,7,21,28,-7,16
14,West Ham Utd,18,4,4,10,18,28,-10,16
15,Brighton,17,3,6,8,16,25,-9,15
16,Everton,18,4,3,11,19,35,-16,15
17,Bournemouth,17,3,1,13,14,32,-18,10
18,Watford,17,2,4,11,11,31,-20,10
19,Aston Villa,17,2,3,12,17,35,-18,9
20,Norwich City,17,1,3,13,7,32,-25,6
