Num,Name,GP,W,D,L,GF,GA,GD,Pts
1,Liverpool,18,17,1,0,47,13,34,52
2,Manchester City,17,13,2,2,50,12,38,41
3,Manchester Utd,18,10,6,2,39,16,23,36
4,Tottenham,18,11,3,4,33,17,16,36
5,Leicester City,17,10,4,3,33,15,18,34
6,Sheffield Utd,18,10,3,5,24,14,10,33
7,Chelsea,17,9,3,5,27,16,11,30
8,Arsenal,17,8,6,3,31,21,10,30
9,Everton,17,8,6,3,22,17,5,30
10,Wolverhampton,18,7,7,4,25,19,6,28
11,Burnley,17,8,3,6,22,20,2,27
12,Newcastle Utd,17,6,8,3,18,15,3,26
13,Watford,18,6,6,6,22,23,-1,24
14,Crystal Palace,17,6,4,7,14,17,-3,22
15,Bournemouth,18,5,6,7,22,28,-6,21
16,Brighton,18,5,6,7,20,27,-7,21
17,Aston Villa,18,6,3,9,21,30,-9,21
18,West Ham Utd,17,5,3,9,26,31,-5,18
19,Southampton,17,5,2,10,17,33,-16,17
20,Norwich City,18,4,3,11,19,35,-16,15
